OBJECTID,EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE,GEOLOC_COD,SOURCE,Land_Use_R,Vol_Cleanu,Laserfiche,Update Date,x,y
48977,NONCD0001301,AUTO VERKS,1800 COMMONWEALTH AVENUE,CHARLOTTE,MECKLENBURG,35.21833,-80.81388,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001298*%22%7D,7/2/2026 12:00:00 AM,-80.81388,35.21833
48978,NONCD0001303,HARRELL SIGN COMPANY,512 PERSHING RD,RALEIGH,WAKE,35.80416,-78.63321,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001301*%22%7D,7/2/2026 12:00:00 AM,-78.63321,35.80416
48979,NONCD0001305,AVONDALE MILLS/HIGH FIVE,700 WEST MAIN STREET,BURNSVILLE,YANCEY,35.91389,-82.31417,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001303*%22%7D,7/2/2026 12:00:00 AM,-82.31417,35.91389
48980,NONCD0001308,BACHS MHP SITE,BACH RD & HWY 150E,SHERRILLS FORD,CATAWBA,35.572602,-81.035961,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001305*%22%7D,7/2/2026 12:00:00 AM,-81.035961,35.5726020000001
48981,NONCD0001310,BAILEY RESIDENCE,2704 ANACONDA ROAD,TARBORO,EDGECOMBE,35.912557,-77.580084,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001308*%22%7D,7/2/2026 12:00:00 AM,-77.5800839999999,35.912557
48982,NONCD0001313,CORTINA FABRICS,3165 VIEWMONT DR,SWEPSONVILLE,ALAMANCE,36.0163,-79.35874,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001310*%22%7D,7/2/2026 12:00:00 AM,-79.35874,36.0163000000001
48983,NONCD0001318,BARBER PARK,1500 DANS RD.,GREENSBORO,GUILFORD,36.052335,-79.751768,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,TRUE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001313*%22%7D,7/2/2026 12:00:00 AM,-79.751768,36.052335
48984,NONCD0001319,BAREFOOT-CAROLINA OIL,850 SOUTH SECOND STREET,ALBEMARLE,STANLY,35.34222,-80.19703,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001318*%22%7D,7/2/2026 12:00:00 AM,-80.19703,35.3422200000001
48985,NONCD0001322,BARWELL ROAD WELLS,CHARLES ST & ANN AVE,RALEIGH,WAKE,35.75314,-78.53398,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001319*%22%7D,7/2/2026 12:00:00 AM,-78.53398,35.75314
48986,NONCD0001323,BASF-ENKA (OTM BUILDING),SANDHILL ROAD,ASHEVILLE,BUNCOMBE,35.545,-82.655555,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001322*%22%7D,7/2/2026 12:00:00 AM,-82.6555549999999,35.5450000000001
48987,NONCD0001326,BEACHAM PROPERTY,420 W TREMONT AVENUE,CHARLOTTE,MECKLENBURG,35.21138,-80.867499,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001323*%22%7D,7/2/2026 12:00:00 AM,-80.867499,35.2113800000001
48988,NONCD0001327,BEAM CONSTRUCTION CO,BESS ROAD FACILITY,BESSEMER CITY,GASTON,35.34511,-81.34472,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001326*%22%7D,7/2/2026 12:00:00 AM,-81.3447199999999,35.34511
48989,NONCD0001328,BEAM RESIDENCES (KEN AND DON),3367 BURGANDY STREET,MAIDEN,CATAWBA,35.59741,-81.14038,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001327*%22%7D,7/2/2026 12:00:00 AM,-81.1403799999999,35.59741
48990,NONCD0001330,BECKER BUILDERS SUPPLY COMPANY,4614 MARKET STREET,WILMINGTON,NEW HANOVER,34.24095,-77.8878,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001328*%22%7D,7/2/2026 12:00:00 AM,-77.8878,34.2409500000001
48991,NONCD0001332,"BELL RESIDENCE, JOHN",1508WHITEHART SCH.,THOMASVILLE,DAVIDSON,35.913055,-80.111111,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001330*%22%7D,7/2/2026 12:00:00 AM,-80.1111109999999,35.913055
48992,NONCD0001333,OMNISOURCE SE/ATLANTIC SCRAP & PROCESS,410 ATANDO AVE,CHARLOTTE,MECKLENBURG,35.25658,-80.81406,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001332*%22%7D,7/2/2026 12:00:00 AM,-80.81406,35.25658
48993,NONCD0001334,BELLSOUTH WORK CENTER SOLVENTS,24TH STREET,CHARLOTTE,MECKLENBURG,35.245833,-80.825277,GEOCODE (ADDRESS MATCH),ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001333*%22%7D,7/2/2026 12:00:00 AM,-80.825277,35.2458330000001
48994,NONCD0001335,BELMONT DYERS,18 LINESTONE DRIVE,BELMONT,GASTON,35.23919,-81.01416,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001334*%22%7D,7/2/2026 12:00:00 AM,-81.0141599999999,35.2391900000001
48995,NONCD0001336,BELTEX CORPORATION,345 MCADENVILLE ROAD,BELMONT,GASTON,35.254863,-81.061692,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001335*%22%7D,7/2/2026 12:00:00 AM,-81.0616919999999,35.2548630000001
48996,NONCD0001337,BENCHMARK MATERIALS,311 S. PLUM ST,DURHAM,DURHAM,35.981944,-78.882777,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001336*%22%7D,7/2/2026 12:00:00 AM,-78.882777,35.9819440000001
48997,NONCD0001338,BENDEL CORPORATION,4823 NORTH GRAHAM STREET,CHARLOTTE,MECKLENBURG,35.28016,-80.80744,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001337*%22%7D,7/2/2026 12:00:00 AM,-80.80744,35.28016
